"pdbid","ligand","dataset","SMILES","Cluster"
"1AJU","ARG","testing","[NH3+][C@H](C=O)CCCNC(=[NH2+])N","Row3"
"1AKX","ARG","2013","N[C@H](C=O)CCCNC(=[NH2+])N","Row3"
"1AKX","ARG","2016","N[C@H](C=O)CCCNC(=[NH2+])N","Row3"
"1ARJ","ARG","2013","N[C@H](C(=O)O)CCCNC(=[NH2+])N","Row3"
"1ARJ","ARG","2016","N[C@H](C(=O)O)CCCNC(=[NH2+])N","Row3"
"1G4Q","MPD","2013","CC(O)(C)C[C@@H](O)C","Row3"
"1G4Q","MPD","2016","CC(O)(C)C[C@@H](O)C","Row3"
"1KOC","ARG","testing","N[C@H](C(=O)O)CCCNC(=[NH2+])N","Row3"
"1KOD","CIR","testing","C(=O)(O)[C@@H](N)CCCNC(=O)N","Row3"
"1NBK","GND","testing","[C@H](CCCNC(=N)N)(C(=O)O)[NH3+]","Row3"
"2KX8","ARG","2016","N[C@H](C=O)CCCNC(=[NH2+])N","Row3"
"2NPZ","PDI","2016","[P@@H](=O)(O)OCCCO","Row3"
"3D0U","LYS","2013","N[C@H](C(=O)O)CCCCN","Row3"
"3D0U","LYS","2016","N[C@H](C(=O)O)CCCCN","Row3"
"3DIG","SLZ","2013","N[C@@H](CSCCN)C(=O)O","Row3"
"3DIG","SLZ","2016","N[C@@H](CSCCN)C(=O)O","Row3"
"3DIL","LYS","2013","N[C@H](C(=O)O)CCCCN","Row3"
"3DIL","LYS","2016","N[C@H](C(=O)O)CCCCN","Row3"
"3DIO","LYS","2013","N[C@H](C(=O)O)CCCCN","Row3"
"3DIO","LYS","2016","N[C@H](C(=O)O)CCCCN","Row3"
"3DIQ","HRG","2013","N[C@@H](CCCCNC(=N)N)C(=O)O","Row3"
"3DIQ","HRG","2016","N[C@@H](CCCCNC(=N)N)C(=O)O","Row3"
"3DIR","IEL","2013","O=C(O)[C@@H](N)CCCCNC(=N)C","Row3"
"3DIR","IEL","2016","O=C(O)[C@@H](N)CCCCNC(=N)C","Row3"
"3DIY","LYS","2013","N[C@H](C(=O)O)CCCCN","Row3"
"3DIY","LYS","2016","N[C@H](C(=O)O)CCCCN","Row3"
"3DJ0","OLZ","2013","OC(=O)[C@@H](N)COCCN","Row3"
"3DJ0","OLZ","2016","OC(=O)[C@@H](N)COCCN","Row3"
"3DJ2","LYS","2013","N[C@H](C(=O)O)CCCCN","Row3"
"3DJ2","LYS","2016","N[C@H](C(=O)O)CCCCN","Row3"
"3OWW","GLY","2013","NCC(=O)O","Row3"
"3OWW","GLY","2016","NCC(=O)O","Row3"
"4ERL","GLY","2016","NCC(=O)O","Row3"
"1BYJ","ligand","testing","[C@@H]1(O[C@H](O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@@H]([C@H]([C@](CO2)(O)C)NC)O)N)[C@H](N)CC1)CN","Row6"
"1EI2","NMY","testing","[C@@H]1(O[C@H]2[C@@H]([C@H]([C@H](N)C[C@@H]2N)O)O[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O[C@@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)CN)O)O)N)O)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CN","Row6"
"1FYP","PAR","testing","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"1J7T","PAR","testing","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O[C@H]2[C@H](O)[C@H](O[C@@H]3[C@H](N)[C@@H](O)[C@H](O)[C@@H](O3)CN)[C@H](O2)CO)O)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)CO","Row6"
"1LC4","TOY","2013","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](N)[C@H](O)[C@H](O2)CO)N)[C@H](N)C[C@H](O)[C@H](O1)CN","Row6"
"1LC4","TOY","2016","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](N)[C@H](O)[C@H](O2)CO)N)[C@H](N)C[C@H](O)[C@H](O1)CN","Row6"
"1MWL","GET","testing","[C@@H]1(O[C@@H]2[C@H](C[C@@H](N)[C@@H]([C@H]2O)O[C@@H]2[C@H](O)[C@@H](NC)[C@](O)(C)CO2)N)[C@H](N)[C@@H](O)[C@H](O)[C@H](O1)[C@H](O)C","Row6"
"1NEM","ligand","testing","[C@@H]1(O[C@H]([C@H](O)[C@@H]1O[C@H]1O[C@H]([C@H]([C@@H]([C@H]1N)O)O)CN)O[C@H]1[C@@H]([C@H](C[C@@H](N)[C@@H]1O)N)O[C@H]1O[C@@H]([C@H]([C@@H]([C@H]1N)O)O)CN)CO","Row6"
"1NTA","SRY","2013","[C@@H]1(NC(=N)N)[C@@H](O)[C@H](NC(=N)N)[C@@H](O[C@H]2[C@@H]([C@@](O)(C=O)[C@H](C)O2)O[C@H]2[C@@H](NC)[C@H](O)[C@@H](O)[C@@H](O2)CO)[C@H](O)[C@H]1O","Row6"
"1NTA","SRY","2016","[C@@H]1(NC(=N)N)[C@@H](O)[C@H](NC(=N)N)[C@@H](O[C@H]2[C@@H]([C@@](O)(C=O)[C@H](C)O2)O[C@H]2[C@@H](NC)[C@H](O)[C@@H](O)[C@@H](O2)CO)[C@H](O)[C@H]1O","Row6"
